PRODUCT_TYPE_NAME,PRODUCT_CLASS_NAME,PRODUCT_SUB_CLASS_NAME,PRODUCT_MINOR_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,CURRENT_DISPLAY_PRICE,SWEETNESS_CODE
LIQUOR,SPIRITS,LIQUEURS,HERBAL,FRANCE,830448,ABSINTHE - LA FEE PARISIENNE,5033566034009,0.7,1,68,79.99,NA
LIQUOR,SPIRITS,CANADIAN WHISKY,CANADIAN RYE WHISKY,CANADA,837120,REVEL STOKE - ROASTED PECAN,87116036123,0.75,1,35,27.49,NA
LIQUOR,WINE,APERITIF  DESSERT AND FORTIFIED WINE,SAKE,UNITED STATES OF AMERICA,114777,TAKARA - SHO CHIKU BAI SAKE KOSHER,86395091007,18,1,15,169,NA
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,CANADA,229732,MISSION RIDGE - PREMIUM DRY RED,779646297326,16,1,11,106.99,1
LIQUOR,WINE,APERITIF  DESSERT AND FORTIFIED WINE,SAKE,UNITED STATES OF AMERICA,283853,GEKKEIKAN - SAKE,,18,1,14.6,167.49,NA
LIQUOR,WINE,TABLE WINE,TABLE WINE WHITE,CANADA,15792,CALONA - ROYAL WHITE,58976055098,4,1,12.5,32.99,4
LIQUOR,WINE,TABLE WINE,TABLE WINE WHITE,CANADA,86652,SIMILKAMEEN - SUPERIOR WHITE,48162001695,4,1,11.5,34.99,1
LIQUOR,WINE,TABLE WINE,TABLE WINE WHITE,CHILE,324210,SAUVIGNON BLANC - SANTA ISABELA,63657001516,16,1,12,132.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,UNITED STATES OF AMERICA,391987,CABERNET - CALIFORNIA HOUSE,63657001400,4,1,11,36.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,CANADA,428029,SAWMILL CREEK - MERLOT,63657018910,4,1,12.5,38.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE WHITE,CANADA,57968,TOSCANO BIANCO,63657001332,4,1,10.5,32.99,1
LIQUOR,WINE,TABLE WINE,TABLE WINE WHITE,CANADA,579037,BODACIOUS - SMOOTH WHITE,,3,1,12.5,33.99,1
LIQUOR,WINE,TABLE WINE,TABLE WINE WHITE,FRANCE,101386,CHATEAU SUDUIRAUT 2006,714153059463,0.375,1,13,59,10
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,FRANCE,102038,CHATEAU LEOVILLE LAS CASES 2006,3388118554095,0.75,1,13,339,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,ITALY,103861,MONTEPULCIANO D'ABRUZZO - CITRA,8005493101267,1,1,12,10.99,0
LIQUOR,BEER,BEER,BEER,CANADA,104083,MOLSON - CANADIAN CAN,56327073203,0.355,8,5,13.99,NA
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,ITALY,104885,TOSCANA - ANTINORI VILLA ANTINORI 09/10,8001935001522,0.75,1,13,26.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE WHITE,GERMANY,106328,RIESLING - DEINHARD PIESPORTER,4003310651104,0.75,1,10,14.99,3
LIQUOR,WINE,TABLE WINE,TABLE WINE WHITE,FRANCE,109975,CHABLIS GRAND CRU LES PREUSES - DOMAINE WM FEVRE 10/11,3443620006057,0.75,1,13,96,0
LIQUOR,BEER,BEER,BEER,AUSTRALIA,111344,COOPERS - SPARKLING ALE,9310441001001,0.375,6,5.8,13.15,NA
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,SPAIN,112821,RIOJA - ARTADI PAGOS VIEJOS 06/07,795898002631,0.75,1,14,99.99,0
LIQUOR,SPIRITS,RUM,AMBER,DOMINICAN REPUBLIC,113902,BRUGAL - 1888 GRAN RESERVA EDICION LIMITADA,842047052877,0.75,1,40,69.95,NA
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,UNITED STATES OF AMERICA,114611,CABERNET SAUVIGNON SYRAH - CHARLES & CHARLES POST NO 35,856622001112,0.75,1,14.5,17.99,0
LIQUOR,SPIRITS,VODKA,REGULAR VODKA,FINLAND,114967,FINLANDIA,6412709021103,1.75,1,40,56.99,NA
LIQUOR,BEER,BEER,BEER,NETHERLANDS,11536,GROLSCH PREMIUM LAGER,8716700015986,0.45,4,5,11.95,NA
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,CHILE,116426,CABERNET SAUVIGNON - CONCHA Y TORO FRONTERA,7804320559001,0.75,1,12.5,8.99,0
LIQUOR,BEER,BEER,BEER,GERMANY,11692,KONIG LUDWIG WEISSBIER,626990129295,0.5,1,5.5,3.29,NA
LIQUOR,SPIRITS,RUM,WHITE,CANADA,117,BACARDI - SUPERIOR WHITE,620213015402,0.75,1,40,23.99,NA
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,ITALY,117341,SARDEGNA VALLI DI PORTO PINO - SANTADI SHARDANA 07/08,726452002880,0.75,1,14.5,34.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,AUSTRALIA,119529,CABERNET SHIRAZ - SHOT IN THE DARK,9337739000041,0.75,1,14.5,13.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,AUSTRALIA,119628,CABERNET SAUVIGNON - LINDEMANS BIN 45,12354087705,0.75,1,13,12.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,SPAIN,119677,TORO - ELIAS MORA 10/11,855012000445,0.75,1,14.5,19.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE WHITE,FRANCE,121459,CHATEAU LAVILLE HAUT BRION 2008,,0.75,1,13,588,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,FRANCE,121483,CHATEAU HAUT BRION 2008,,0.75,1,13,899,0
LIQUOR,BEER,BEER,BEER,UNITED KINGDOM,122986,INNIS & GUNN ORIGINAL OAKED AGED BEER,5010327658544,0.33,1,6.6,2.79,0
LIQUOR,SPIRITS,LIQUEURS,COFFEE,UNITED STATES OF AMERICA,123315,KAHLUA,89540454061,0.75,1,20,27.49,0
LIQUOR,SPIRITS,LIQUEURS,COFFEE,UNITED STATES OF AMERICA,123323,KAHLUA,89540454085,1.14,1,20,36.99,0
LIQUOR,SPIRITS,SCOTCH WHISKY,SCOTCH - MALT,UNITED KINGDOM,12385,GLENFIDDICH - 12 YEAR OLD,5010327000176,0.75,1,40,53.99,NA
LIQUOR,SPIRITS,SCOTCH WHISKY,SCOTCH - MALT,UNITED KINGDOM,127126,EDRADOUR - 2002 SFTC CHATEAUNEUF DU PAPE CASK FINISH,5021944070824,0.5,1,57.1,115,0
LIQUOR,WINE,TABLE WINE,TABLE WINE ROSE,PORTUGAL,12781,MATEUS ROSE - SOGRAPE,5601012011708,1.5,1,11,18.99,2
LIQUOR,SPIRITS,CANADIAN WHISKY,CANADIAN RYE WHISKY,CANADA,1297,SCHENLEY - GOLDEN WEDDING,683899104044,0.75,1,40,23.75,NA
LIQUOR,SPIRITS,VODKA,REGULAR VODKA,CANADA,12989,SILENT SAM,622153192069,1.14,1,40,36.09,NA
LIQUOR,SPIRITS,RUM,DARK,INDIA,129973,MCDOWELLS'S - NO 1 CELEBRATION,8902967400003,0.75,1,42.8,23.75,0
LIQUOR,BEER,BEER,BEER,CANADA,131094,LABATT - BUDWEISER CAN CANUCKS 15 PK,62067200700,0.355,15,5,22.99,NA
LIQUOR,SPIRITS,IRISH WHISKY,IRISH WHISKY,IRELAND,131870,BUSHMILLS - 10 YEAR OLD SINGLE MALT,83300083621,0.75,1,40,49.99,NA
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,ITALY,137026,PUGLIA PRIMITIVO - OGIO,8008863021875,0.75,1,13,12.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE WHITE,CANADA,138297,NK'MIP - RIESLING 11/12,836909010532,0.75,1,12.5,17.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,ITALY,139220,BRUNELLO DI MONTALCINO - ALTESINO 07/08,662255010137,0.75,1,13.5,59.99,0
LIQUOR,BEER,BEER,BEER,MEXICO,141903,CORONA EXTRA CAN,7501064196249,0.355,6,4.6,13.29,NA
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,ITALY,142737,PIEMONTE BARBERA - BARBERA DA VINE,8010471003198,0.75,1,14,10.49,0
LIQUOR,WINE,SPARKLING WINE,SPARKLING WINE WHITE,FRANCE,143503,VEUVE CLICQUOT - BRUT FRIDGE COLLECTION,3049614106316,0.75,1,12,69.99,0
LIQUOR,WINE,APERITIF  DESSERT AND FORTIFIED WINE,FLAVOURED,ITALY,144071,BARBIERE - APEROL APERITIVO,86785900001,0.75,1,11,22.99,2
